text
Media Asing Sorot Prabowo Ganti Kepala BGN Sebut Ini... Media asing menyoroti langkah Presiden Prabowo Subianto mengganti Kepala Badan Gizi Nasional (BGN) Selasa malam... Presiden Indonesia Prabowo Subianto pada hari Selasa memecat kepala badan yang bertanggung jawab atas https://t.co/19WUTRkJ2t
@txtdrimedia Berikut ini perkiraan penyebab kematian sapi menurut ahli keblinger : 1. Lingkar perut terlampau besar ukuran celana lebih dari 33 mungkin ini ukuran 40. 2. Keracunan MBG. 3. Ditembak mati karena membuat atasan tersinggung. 4. HIDUP JOKOOWIIIIII
@TeddGus Santai aja @TeddGus .. ngapain lw respon netijen yang bilang Prabowo jalan jalan terus.. yang perlu lw respon MBG bikin anak murid keracunan.. kop merah putih mau terbang tapi matiin dlu Indomart sama Alfamart.. padahal itu gede penghasilan pajaknya.. PPh 25 PPh 29 PPn PPh 21
@Ogaman888 Kalo orang pinter dan ga rakus ide itu masih tetap realistis. Gimana caranya? Ya ngga langsung dong dibagi fase lah. Emang kayak MBG. Belum teruji hasilnya tau-tau dilakuin serentak. Boncos iya nambah gizi juga nggak yang ada keracunan.
@mfsa118 kata pemilihnya karna beliau background militer jadi pasti bagus pertahanan Indonesia faktanya program MBG tidak begitu efektif dan efisien malah banyak siswa keracunan. aku pun bingung bang aku sebagai orang Indonesia ni lebih butuh pendidikan gratis
@bapinski13 @chococookiesess Food-waste parah. Anakku dapet jatah mbg ga sekalipun pernah dikasih makan ke anak soalnya takut keracunan anakku jg belum usia sampe dua tahun pernah ada menunya ayam balado wkwk orang gila. Ga ngerti sebelah mana gizi untuk mencegah stuntingnya kek asal aja. Tai banteng.
@Grock230 1. MBG bikin banyak terjadi keracunan. 2. MBG menu banyak terbuang. 3. MBG telah banyak mengeluarkan dana. 4.........
@Bambangmulyonoo Mbg ga ada manfaatnya bisa membuat murid mati keracunan
@MiskinTV_ Rekam jejak MBG Makanan 'Bergizi' 'Gratis': 30.000+ pelajar KERACUNAN (ini dianggap sepele haha) Makanan TIDAK LAYAK MAKAN yaitu LELE MENTAH Bergizi? Yg dikasih biskuit dan snack tinggi gula dan sodium https://t.co/xFgyi3f8rb Korupsinya gk ngotak #StopMBG #CancelMBG
@99propaganda Lo aja yg bloon klu semua kerjaannya di kritik berarti kerja nya yg gk beres.. MBG : keracunan Dolar : makin naik Qurban pakai pribadi tp pakai Dana APBN.. Jd apanya yg mau di apresiasi? Jogednya? Macam badut Apanya ayo?
Kok lu mikirin bgt ya sama orang2 yg terlibat MBG ini? Kepikir gak dampak sama orang2 yg kegusur karena MBG? Dana super gendut yang motong anggaran sana-sini? Dampak belasan ribu anak yg keracunan? Mikirrrr
@tirta_cipeng Serakah dipaksa ditumbalkan ntahlah. Pokoknya ada yang keracunan MBG.
@profesor_saham Pantasan nirempati ke korban keracunan mbg
@rubyl Sini gw jelasin biar otaknya keisi full ya. Mbg berhasil karena buka lapangan pekerjaan dan sekarang sudah 1jt lebih jumlahnya. Pertanian peternakan juga diuntungkan untuk menu MBG. Keracunan? Apakah presiden ga gerak? Lihat kepala BGN sudah diturunkan setelah evaluasi.
@TradingDiary2 Nah ini point penting nya pak T emang rela uangnya dipake honeymoon ke prancis? Emang rela uangnya dipake MBG yg bikin puluhan ribu anak anak keracunan?
@triwul82 @_ikhwanyan Akhirnya Karma pun dia terima. Karma dari anak² sekolah yg keracunan makanan MBG anak² yg meninggal krn MBG dan karma dari rakyat Indonesia yg muak dg kerakusan Dadan.
PONAKANKU KERACUNAN MBG .. KAMPANG PEMERINTAH NI MEMANG!
Dadan Hindayana menjadi sorotan usai dicopot dari jabatannya sebagai Kepala BGN. Sekitar lima bulan pelaksanaan Program Makan Bergizi Gratis hingga awal Mei 2026 sejumlah kontroversi mulai dari usulan konsumsi susu 2 liter per hari hingga kasus keracunan MBG menjadi perhatian. https://t.co/IVxa9xl0QC
Inilah efek samping jika terlalu banyak mengkonsumsi MBG yaitu menyebabkan DELUSI &amp; SKIZOFRENIA. https://t.co/HCdskFlUKC
@semangatniee ANAK ANAK KERACUNAN MBG DI BAWA AMBULAN LEWAT JALAN TOL SAMPAI RUMAH SAKIT PERAWATAN NYA PAKE BPJS . KOMBINASI YG EDAN
Kasus DADAN Cs membuktikan kalau proyek MBG itu modus korupsi yg mengancam keselamatan anak bangsa harus segera dihentikan @prabowo @DPR_RI https://t.co/uWaZMSh9PQ
@rimacahaya661 KPK harus segera usut tuntas mahluk ini sebelum mati keracunan MBG.
@kangmirdja Haha .. kalau sampai keracunan mbg di luar negri memalukan banget
Meow 1: kenapa kita ngumpul? Meow 2: hati-hati cok mangan sisa nasi MBG kowe keracunan nanti wong anak sekolah pada keracunan. Sian cok bocah-bocah sekolah pada keracunan. All meow : presidene sopo iku? Rak menungso pun ikut nelongso. End~
@menuembegejelek @prabowo jujur ya sepupu aku pada gamau lagi makan mbg karna liat tmnnya pd keracunan trs pd akhirnya tiap dpt mgb dikasi buat ayam....makasi yh prab...tapi ...ah sudahlah
Jangan tutup mata kalau MBG tuh memotong anggaran pendidikan dan kesehatan. Jangan tutup mata kalau ratusan siswa keracunan karena MBG. Jangan tutup mata karena MBG stok susu di swalayan habis. Jangan tutup mata MBG memakan banyak sekali APBN
Pimpinan Komisi IX DPR Jelaskan 3 PR Berat Kepala BGN Baru Soroti Keracunan MBG https://t.co/Du0qcs6Xb3
@widarto63285827 @aniesbaswedan Keracunan MBG kyknya nih orang..
Berdasarkan data JPPI sejak awal 2025 hingga April 2026 tercatat sedikitnya 33.626 pelajar sempat mengalami keracunan yang diduga dari MBG.
@kompascom Njir keracunan mbg go international
Kejagung tetapkan eks Kepala BGN Dadan Hindayana dan dua wakilnya sebagai tersangka korupsi tata kelola MBG. Begini motif yang dilakukan Dadan dkk. https://t.co/CW6SeqmjUa
@indepenSumatera Liat dari timing nya cocok ini kasus jd percontohan hukuman mati untuk koruptor. Tuntut hukuman mati bagi para koruptor MBG. Pasalnya yg keracunan MBG bertaruh nyawa di tiap kasus nya.
@celleoreo Pertanyaan tolol macam apa...kan dia nyiptain 17juta lapangan kerja...skrng multifungsi MBG apa..sdangkan banyak yg keracunan.... Dan gak Ade manfaatnya...paya bahlil
