"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2062204769176113210","Wed Jun 03 16:08:30 +0000 2026","19","Intinya dari awal: MBG banyak masalah (keracunan anggaran bocor SPPG jual beli titik). Pimpinannya malah ribut perebutan kursi. Rakyat? Tetap disuruh sabar nunggu makan bergizi gratis . Life is fun let it be sampe duit pajak kita bener-bener nyampe ke yang butuh. ","2062204791162581164","","bangherwin","in","","0","1","2","https://x.com/undefined/status/2062204791162581164","1267940786991099905",
"2061724806232539611","Tue Jun 02 10:21:42 +0000 2026","0","@kompascom Coba sesekali mbg bersama di tempat yang sering keracunan.... Digampar gak tuh ","2061755126172578154","","kompascom","in","","0","0","0","https://x.com/undefined/status/2061755126172578154","30229423",
"2061993401160221013","Wed Jun 03 02:16:20 +0000 2026","10","Yang penting dipahami: dalam Paradoks Indonesia Prabowo tidak hanya mengkritik ketimpangan yang sudah ada. Ia secara eksplisit memperingatkan tentang bahaya yang lebih dalam bahwa negara yang hadir setengah hati yang meluncurkan program besar tanpa fondasi tata kelola yang","2061995368536252674","","Fahrihamzah","in","","1","4","4","https://x.com/undefined/status/2061995368536252674","120968478",
"2061748229667266987","Tue Jun 02 11:01:28 +0000 2026","0","@Razor_Language Pantes mati keracunan mbg ternyata","2061765133039456754","","Razor_Language","in","","0","0","0","https://x.com/undefined/status/2061765133039456754","1449185625672851461",
"1915379080629018883","Thu Apr 24 12:15:33 +0000 2025","29101","JUMLAH MENTERI 48 JUMLAH WAMEN 55 Tapi tidak ada satu pun dari mereka hadir menemui korban keracunan MBG sebagai bentuk Suport &amp; rasa tanggung jawab dari program pemerintah yang tidak bermutu ini...","1915379080629018883","","","in","","154","198","12400","https://x.com/undefined/status/1915379080629018883","1133311906976952320",
"2061826475779879020","Tue Jun 02 17:55:20 +0000 2026","1","@SeekHustle Dadan jg kl waktu ada keracunan di siswa nangis2 jg pst di pertahanin....eh malah ngelawak mau ksh mbg ke saudi...br mau lapor eh malah d copt...apes si dadan....jd ahli serangga lg dah...","2061869289360297988","","SeekHustle","in","","0","1","0","https://x.com/undefined/status/2061869289360297988","903223091232251904",
"2061968955489812718","Wed Jun 03 00:31:23 +0000 2026","0","Syukurlah walau harusnya sudah sejak lama..... *19.000 ekor/hari *Siswa keracunan *Bulan puasa tetap MBG (basi?) Prabowo copot Kepala BGN Dadan Hindayana https://t.co/DfrMGzApKX","2061968955489812718","","","in","","0","0","0","https://x.com/undefined/status/2061968955489812718","1605933061455036416",
"2062144358036713708","Wed Jun 03 16:18:54 +0000 2026","0","@Metro_TV Harusnya dri Awal ini Org Ditangkep dh bikin Ribuan Pelajar keracunan Trnyata Maen Bisnis Juga dri Proyek MBG.. Kenapa di Sini padhl Pnya Niatan bgus ujungnya malahan jdi bancakan Korupsi","2062207406680289346","","Metro_TV","in","","0","0","0","https://x.com/undefined/status/2062207406680289346","1680515879812091904",
"2062140764881314132","Wed Jun 03 12:42:29 +0000 2026","29","@txtdrimedia Dlm proyek maling berkedok gizi yg paling banyak di untungkan adalah ; Elit pemerintah Pejabat politik dan Mitra MBG. Yg sampai ke siswa hanyalah sisa dari anggaran dan resiko keracunan .... @prabowo @DPR_RI https://t.co/OevZfJ3Agr","2062152942682362355","https://pbs.twimg.com/media/HJ49KxNa0AALMxj.jpg","txtdrimedia","in","","0","0","3","https://x.com/undefined/status/2062152942682362355","1668332995877675010",
"2062115723233882513","Wed Jun 03 17:01:09 +0000 2026","0","@ardisatriawan Yang jelas jelas si botak biadab nirempati kalo ada korban keracunan mbg","2062218037722587421","","ardisatriawan","in","","0","0","0","https://x.com/undefined/status/2062218037722587421","1930268031818838016",
"2062122880419389916","Wed Jun 03 20:02:59 +0000 2026","0","@unmagnetism MBG yg urgent masalah kesehatan sampe keracunan anak aja dr tirta gk ada komentar apalagi ini","2062263797830840709","","unmagnetism","in","","0","0","0","https://x.com/undefined/status/2062263797830840709","1579198610801299456",
"2060980805481193943","Sun May 31 07:04:49 +0000 2026","0","Badan Gizi Nasional mengungkap adanya dugaan praktik jual beli titik dapur MBG oleh oknum tertentu. Pengungkapan ini menjadi bagian dari upaya memperkuat pengawasan dan menjaga integritas program. #MBG #BadanGiziNasional #Transparansi #jagaindonesia #dialogbukankonfrontasi https://t.co/lwHnOM86TW","2060980805481193943","https://pbs.twimg.com/amplify_video_thumb/2060980673368993792/img/Tt221kSPMVxXII-I.jpg","","in","","0","0","0","https://x.com/undefined/status/2060980805481193943","1986954193589182465",
"2062085241184170341","Wed Jun 03 08:13:27 +0000 2026","1","1 5 tahun setelah ngabisin anggaran pengadaan yang ngadi-ngadi banyak keracunan dan baru di gerebek pas masih anget dicopot?? Oooo mbg mbg https://t.co/LnDBFeTyH6","2062085241184170341","https://pbs.twimg.com/media/HJ3_mPwbcAARGzy.jpg","","in","","0","1","0","https://x.com/undefined/status/2062085241184170341","2061968736173834240",
"2060630479490138269","Sat May 30 08:03:26 +0000 2026","48","@ardisatriawan TNI bilang jumlah pelanggaran prajuritnya sangat kecil . MBG bilang keracunan siswanya nol koma sekian persen . Korbannya? Warga sipil semua. Negara sudahlah gak jago ngitung persentase nggak jago pula nganggep nyawa rakyat sipilnya itu penting.","2060633166818455857","","ardisatriawan","in","","1","1","4","https://x.com/undefined/status/2060633166818455857","2053631706708762624",
"2062090008056742299","Wed Jun 03 08:53:13 +0000 2026","0","Dipastikan hampir setiap hari sejak Proyek MBG direalisasikan terjadi Keracunan tercatat hampir terjadi diseluruh Nusantara terjadi Keracunan yang menimpa Anak Didik yang menjadi fokus pemberian MBG - jadi jangan kemudian dialihkan dalam hitungan % ya mas Broo @prabowo #hening","2062095247082160242","","asboediono_id","in","","1","0","0","https://x.com/undefined/status/2062095247082160242","780554097388687360",
"2061745662010523790","Tue Jun 02 09:44:05 +0000 2026","11","SPPG di Talaga Majalengka Disetop Sementara Usai 22 Siswa Dirawat RS Salah satu dapur penyedia program Makan Bergizi Gratis (MBG) di wilayah Kecamatan Talaga Kabupaten Majalengka dihentikan sementara operasionalnya... Langkah itu diambil setelah 22 penerima manfaat dilaporkan https://t.co/XRQmlyWOPX","2061745662010523790","https://pbs.twimg.com/media/HJzKwMrbMAAkh8V.jpg","","in","","1","13","3","https://x.com/undefined/status/2061745662010523790","80559922",
"2062167056234262591","Wed Jun 03 13:38:34 +0000 2026","1"," Kasus keracunan MBG cuma 0 0006% Korupsi MBG cuma 1M dari 1T perhari itu cuma 0 1% ","2062167056234262591","","","in","","0","0","0","https://x.com/undefined/status/2062167056234262591","183124089",
"2062127609333559679","Wed Jun 03 11:01:49 +0000 2026","130","Sepanjang 2025 sampe pertengahan 2026 tercatat puluhan ribu kasus keracunan massal di program MBG (data JPPI &amp; Kemenkes). Banyak terjadi di dapur yg belum punya sertifikat higiene sanitasi. Target zero accident yang berulang kali gak tercapai. Jadi pertanyaannya bukan sekedar","2062127609333559679","","","in","","1","3","39","https://x.com/undefined/status/2062127609333559679","2052806389962350592",
"2059875404752830605","Thu May 28 18:51:29 +0000 2026","94","@beebbh9680 Guru ikut ngurus MBG tapi gaji Petugas MBG lebih besar dari pada gaji guru. Dan guru yang tanggung jawab kalo ada keracunan. Chuakzzzz","2060071476825612372","","beebbh9680","in","","0","2","3","https://x.com/undefined/status/2060071476825612372","1052153783516422144",
"2061825163528941622","Tue Jun 02 15:19:35 +0000 2026","0","@tempodotco Kalau MBG sukses kenapa Kepala BGN diganti? Bukan krn demi perbaikan tapi ada masalah dengan MBG ini. Bayangkan dimana-mana ada Keracunan tapi dikatakan Sukses itu adalah pembodohan @prabowo @setkabgoid @KSPgoid","2061830092226224598","","tempodotco","in","","0","0","0","https://x.com/undefined/status/2061830092226224598","64605516",
"2061841821190484069","Tue Jun 02 17:13:23 +0000 2026","1","@dipanggilarman Ibu2 yg di awal tahun targetnya 0 kasus keracunan MBG tapi faktanya baru sampe Mei udah lebih dari 37 ribu penerima MBG yg mengalami keracunan... ","2061858728601964975","","dipanggilarman","in","","0","0","0","https://x.com/undefined/status/2061858728601964975","80559922",
"2062325723554308377","Thu Jun 04 00:09:03 +0000 2026","0","Tidak usah lagi dipaksakan cukup buat bagi rakyat yg blm mampu. Bnyk kendala di mbg selain menyedot anggaran korupsi keracunan terbuang mubasir dan bbrp tdk memenuhi kriteria bergizi maupun sehat. @prabowo Source: CNBC Indonesia https://t.co/4LiGlrGrQg","2062325723554308377","","","in","","0","0","0","https://x.com/undefined/status/2062325723554308377","1792910214791876608",
"2062153412620529750","Thu Jun 04 06:13:58 +0000 2026","0","@hxxguu_ @nervinette yaaa kan aku bilang gapapa dong ga harus selalu pro dan ga harus selalu kontra apa yang baik di dukung apa yang ga jelas di audit. aku ga pro lawatan luar negeri sebanyak ini karena aku ga melihat dan merasakan dampaknya lah bang jadi apa yang bisa ku akuin makanya aku","2062417557030830396","","hxxguu_","in","","0","1","0","https://x.com/undefined/status/2062417557030830396","2020507612564045824",
"2062120524923498886","Wed Jun 03 10:41:59 +0000 2026","3","Agak puassss Manusia ongol2 yg songongnya sundul langit inipun pake baju baru Kalo inget bela2nya dia untuk Kaos kaki buat seragam pendidikan motor trail udh sesuai prosedur dll. Kapan ya boleh lemparin telor busuk ke mereka ini? Eh kasih makan.. biar rasain keracunan https://t.co/Vv4vUDsg44","2062122618611007847","https://pbs.twimg.com/ext_tw_video_thumb/2062122572624613376/pu/img/rktb1aOKoHvDbur3.jpg","Jelli_cent","in","","0","1","2","https://x.com/undefined/status/2062122618611007847","2669430458",
"2061655852663386199","Tue Jun 02 12:13:42 +0000 2026","0","@semangatniee Habiskan duit rakyat buat korupsi BPJS bermasalah di anggaran dan utang MBG gali lubang tutup lubah dg keracunan dan belatung jalan tol bikin BUMN Karya batuk darah hampir kolaps (harga sahamnya Rp8-Rp197)","2061783312654614862","","semangatniee","in","","0","0","0","https://x.com/undefined/status/2061783312654614862","1597344022095630336",
"2062075391460974794","Wed Jun 03 23:39:37 +0000 2026","0","@tham878 Dulu Kepala BGN disenggol sedikit saja para anjing buzzeRp langsung pasang badan. Yang protes soal keracunan tata kelola dan berbagai masalah MBG dibilang pembenci penyebar fitnah bahkan dianggap mengganggu program negara. Sekarang setelah Kepala BGN dan dua wakilnya","2062318316878987619","","tham878","in","","0","0","0","https://x.com/undefined/status/2062318316878987619","387748122",
"2062014840642970069","Wed Jun 03 04:03:11 +0000 2026","0","Alhamdulillah berkat do a rakyat yg masih peduli pada Negara ini dan juga mungkin do a para orang tua yg anak2 nya keracunan MBG.. hari ini Do a kalian.. sebagian di kabulkan https://t.co/s0jE6RBAiF","2062022259750121671","https://pbs.twimg.com/amplify_video_thumb/2062022166846246912/img/iwtu_InvzCZlUDak.jpg","KWijono","in","","0","0","0","https://x.com/undefined/status/2062022259750121671","109476234",
"1930620249172545606","Thu Jun 05 13:38:31 +0000 2025","59529","Selamat hari raya Idul Adha Yang seharusnya dikorbankan : sapi kambing dan unta. Bukan - hutan di Papua - anak-anak yang keracunan mbg - aktivis yang turun di jalan - akal dan pikiran pejabat","1930620249172545606","","","in","","220","87","30640","https://x.com/undefined/status/1930620249172545606","1777741256598446084",
"2061858443229790657","Wed Jun 03 07:36:17 +0000 2026","0","@natasyazia_al @WahyuDj99 banyak makanan yang dibuang percuma tidak tepat sasaran SPPG jadi lahan bisnis kasus keracunan banyak apa gak tolol itu namanya? daripada MBG noh sekolah yang reyot diperbaiki fasilitas kesehatan diperbaiki","2062075886984409359","","natasyazia_al","in","","0","1","0","https://x.com/undefined/status/2062075886984409359","1567056981160263680",
"2062413000112521674","Thu Jun 04 05:55:51 +0000 2026","0","Pihak sekolah hanya ikut ikutan tren bahasa jaman now. Tidak termasuk yang tidak lulus. Tidak keracunan MBG hanya tubuhnya tidak tahan terhadap zat berbahaya. Rupiah tidak melemah hanya dollar nya saja yang menguat terhadap rupiah. Dan lain lain ","2062413000112521674","","","in","","0","0","0","https://x.com/undefined/status/2062413000112521674","2699256621",
"2061831981051367726","Tue Jun 02 15:51:25 +0000 2026","0","@txtdrjkt Salah satu alasan pencopotan katanya: kualitas menu MBG alias yg bikin keracunan!! https://t.co/Zxe9zvoBlD","2061838102575095875","","txtdrjkt","in","","0","0","0","https://x.com/undefined/status/2061838102575095875","1936995279351463936",
"2062070529339580481","Wed Jun 03 13:16:34 +0000 2026","1","@direktoridosen Intinya gak becus kerja dan korupsi Ringkasan kasus: Korupsi tata kelola program MBG Diduga ada mark-up dan penyimpangan pengadaan (misalnya motor sepatu sertifikasi halal dll.) serta praktik jual beli titik dapur/lokasi pelaksanaan program. Ada indikasi afiliasi","2062161520835125611","","direktoridosen","in","","0","1","0","https://x.com/undefined/status/2062161520835125611","178600446",
"2062401748552253662","Thu Jun 04 05:11:10 +0000 2026","0","Berita Selengkapnya: https://t.co/4u1saQKWV2.","2062401754604720322","","matalokalbkl","in","","0","0","0","https://x.com/undefined/status/2062401754604720322","1910450649801912320",
"2062122813306331515","Wed Jun 03 10:42:45 +0000 2026","1","Korban keracunan MBG ️ https://t.co/45Eavwwxpi","2062122813306331515","https://pbs.twimg.com/amplify_video_thumb/2062122702186618880/img/4Rw2oLvj8I9-5U99.jpg","","in","","0","0","0","https://x.com/undefined/status/2062122813306331515","1965142632453341184",
